"","Trial","Treatment","Mean_Predicted_prob","SE_Predicted_prob"
"1",1,"CORT-Cold",0.341132886898864,0.0504552132383674
"2",1,"CORT-Hot",0.22185914441666,0.0400076323217873
"3",1,"Control-Cold",0.280938023978006,0.0444467621461679
"4",1,"Control-Hot",0.274019371518257,0.0458525648213873
"5",2,"CORT-Cold",0.3500312245843,0.0495056208554915
"6",2,"CORT-Hot",0.231556871292158,0.039942066719875
"7",2,"Control-Cold",0.293443685952291,0.0441906466067939
"8",2,"Control-Hot",0.282766107976497,0.0452772254953566
"9",3,"CORT-Cold",0.359051812945687,0.0485265048702246
"10",3,"CORT-Hot",0.241563996195806,0.0398211886425904
"11",3,"Control-Cold",0.30628869944808,0.0438602473256328
"12",3,"Control-Hot",0.291697287044255,0.0446595789445413
"13",4,"CORT-Cold",0.368189297637697,0.047523380507259
"14",4,"CORT-Hot",0.251879050432886,0.0396463093871133
"15",4,"Control-Cold",0.319461377364264,0.0434592050974917
"16",4,"Control-Hot",0.300809458552529,0.0440034146045831
"17",5,"CORT-Cold",0.377437921024523,0.0465024706414708
"18",5,"CORT-Hot",0.262499369293856,0.0394196336232064
"19",5,"Control-Cold",0.332947981205632,0.0429924787884104
"20",5,"Control-Hot",0.310098583101309,0.0433133167950786
"21",6,"CORT-Cold",0.386791530694999,0.0454707265386314
"22",6,"CORT-Hot",0.273421023670306,0.0391443528968479
"23",6,"Control-Cold",0.346732709244005,0.0424663989421849
"24",6,"Control-Hot",0.319560019983321,0.0425947210847698
"25",7,"CORT-Cold",0.396243590924957,0.0444358375337192
"26",7,"CORT-Hot",0.284638758620125,0.0388247321951625
"27",7,"Control-Cold",0.360797710080917,0.0418886899094206
"28",7,"Control-Hot",0.329188518713741,0.0418539639379134
"29",8,"CORT-Cold",0.405787197137678,0.0434062252336692
"30",8,"CORT-Hot",0.296145940521058,0.0384661840958612
"31",8,"Control-Cold",0.375123123531994,0.041268451516637
"32",8,"Control-Hot",0.338978214535321,0.0410983213014942
"33",9,"CORT-Cold",0.415415093375458,0.0423910167351979
"34",9,"CORT-Hot",0.307934514471164,0.0380753235077382
"35",9,"Control-Cold",0.389687150242855,0.0406160904106886
"36",9,"Control-Hot",0.348922628241604,0.0403360304066251
"37",10,"CORT-Cold",0.425119692754434,0.0413999902539031
"38",10,"CORT-Hot",0.319994973570397,0.0376599943137429
"39",10,"Control-Cold",0.404466150831069,0.0399431908002358
"40",10,"Control-Hot",0.359014670624265,0.0395762874637429
"41",11,"CORT-Cold",0.43489310083158,0.0404434856744854
"42",11,"CORT-Hot",0.332316341643854,0.0372292574910234
"43",11,"Control-Cold",0.419434774642659,0.039262314778453
"44",11,"Control-Hot",0.369246651804005,0.0388292122604539
"45",12,"CORT-Cold",0.444727141768108,0.03953227218059
"46",12,"CORT-Hot",0.344886170839396,0.0367933287702487
"47",12,"Control-Cold",0.434566117435826,0.0385867242964842
"48",12,"Control-Hot",0.379610295647839,0.0381057691884976
"49",13,"CORT-Cold",0.454613387128394,0.0386773657601625
"50",13,"CORT-Hot",0.357690555347646,0.036363453053723
"51",13,"Control-Cold",0.449831906486646,0.0379300207980027
"52",13,"Control-Hot",0.390096759409696,0.0374176333792356
"53",14,"CORT-Cold",0.464543187109109,0.0378897915492064
"54",14,"CORT-Hot",0.370714162249973,0.0359517032845652
"55",14,"Control-Cold",0.465202710784652,0.0373057050904154
"56",14,"Control-Hot",0.400696658656706,0.0367769910655679
"57",15,"CORT-Cold",0.474507703950636,0.037180290185299
"58",15,"CORT-Hot",0.383940280202299,0.0355706940605078
"59",15,"Control-Cold",0.480648173187401,0.0367266694512969
"60",15,"Control-Hot",0.411400097461886,0.036196265820847
"61",16,"CORT-Cold",0.484497947243286,0.0365589738627176
"62",16,"CORT-Hot",0.39735088631423,0.0352332058486158
"63",16,"Control-Cold",0.496137260671148,0.0362046457791153
"64",16,"Control-Hot",0.422196703756585,0.0356877677553503
"65",17,"CORT-Cold",0.49450481080541,0.0360349463538939
"66",17,"CORT-Hot",0.410926731192458,0.034951724733445
"67",17,"Control-Cold",0.511638528187363,0.035749646272909
"68",17,"Control-Hot",0.433075669645326,0.0352632715539486
