"","Value","Treatment"
"CORT-Cold1",0.029467880299162,"CORT-Cold"
"CORT-Cold2",0.0237422826558279,"CORT-Cold"
"CORT-Cold3",0.0400963021127711,"CORT-Cold"
"CORT-Cold4",0.0494967088297275,"CORT-Cold"
"CORT-Cold5",0.0403092370879717,"CORT-Cold"
"CORT-Cold6",0.0335173195110426,"CORT-Cold"
"CORT-Cold7",0.0410584302323069,"CORT-Cold"
"CORT-Cold8",0.041620247433524,"CORT-Cold"
"CORT-Cold9",0.0369507891368408,"CORT-Cold"
"CORT-Cold10",0.0471259605596682,"CORT-Cold"
"CORT-Cold11",0.0264968478475467,"CORT-Cold"
"CORT-Cold12",0.0417941827718897,"CORT-Cold"
"CORT-Cold13",0.043018223902583,"CORT-Cold"
"CORT-Cold14",0.0499914298136828,"CORT-Cold"
"CORT-Cold15",0.0448503686052124,"CORT-Cold"
"CORT-Cold16",0.0373237359439421,"CORT-Cold"
"CORT-Cold17",0.047160925634427,"CORT-Cold"
"CORT-Cold18",0.0369132989831707,"CORT-Cold"
"CORT-Cold19",0.0411473224238007,"CORT-Cold"
"CORT-Cold20",0.0336236866334488,"CORT-Cold"
"CORT-Cold21",0.0396032969112893,"CORT-Cold"
"CORT-Cold22",0.0445873426892455,"CORT-Cold"
"CORT-Cold23",0.0487304800265856,"CORT-Cold"
"CORT-Cold24",0.0436264252345389,"CORT-Cold"
"CORT-Cold25",0.0402048537503445,"CORT-Cold"
"CORT-Cold26",0.0306809410313069,"CORT-Cold"
"CORT-Cold27",0.0435676623140367,"CORT-Cold"
"CORT-Cold28",0.0419178579816456,"CORT-Cold"
"CORT-Cold29",0.0423285212079006,"CORT-Cold"
"CORT-Cold30",0.055426096654139,"CORT-Cold"
"CORT-Cold31",0.0432810274087834,"CORT-Cold"
"CORT-Cold32",0.0405637649804896,"CORT-Cold"
"CORT-Cold33",0.0350597181556569,"CORT-Cold"
"CORT-Cold34",0.0339460564783098,"CORT-Cold"
"CORT-Cold35",0.0474281655654319,"CORT-Cold"
"CORT-Cold36",0.0284114393043924,"CORT-Cold"
"CORT-Cold37",0.0163393525946797,"CORT-Cold"
"CORT-Cold38",0.027648938946225,"CORT-Cold"
"CORT-Cold39",0.0361658327937045,"CORT-Cold"
"CORT-Cold40",0.0342369308606207,"CORT-Cold"
"CORT-Cold41",0.0427070208172786,"CORT-Cold"
"CORT-Cold42",0.0399886191215021,"CORT-Cold"
"CORT-Cold43",0.0353424975314762,"CORT-Cold"
"CORT-Cold44",0.0389008739339895,"CORT-Cold"
"CORT-Cold45",0.0265078012858824,"CORT-Cold"
"CORT-Cold46",0.0396123889709508,"CORT-Cold"
"CORT-Cold47",0.0320288592193882,"CORT-Cold"
"CORT-Cold48",0.0306137361251777,"CORT-Cold"
"CORT-Cold49",0.0421459767241574,"CORT-Cold"
"CORT-Cold50",0.0448811792553411,"CORT-Cold"
"CORT-Cold51",0.0415783802470045,"CORT-Cold"
"CORT-Cold52",0.0434276880500069,"CORT-Cold"
"CORT-Cold53",0.0371710451566874,"CORT-Cold"
"CORT-Cold54",0.0480511167704094,"CORT-Cold"
"CORT-Cold55",0.0236826785206963,"CORT-Cold"
"CORT-Cold56",0.0266074097332513,"CORT-Cold"
"CORT-Cold57",0.0296286963369247,"CORT-Cold"
"CORT-Cold58",0.0475993193733383,"CORT-Cold"
"CORT-Cold59",0.0445272478411573,"CORT-Cold"
"CORT-Cold60",0.0240665984085897,"CORT-Cold"
"CORT-Cold61",0.0465269120459819,"CORT-Cold"
"CORT-Cold62",0.0439524087510232,"CORT-Cold"
"CORT-Cold63",0.0468664636481889,"CORT-Cold"
"CORT-Cold64",0.0409794611174841,"CORT-Cold"
"CORT-Cold65",0.0429868239481675,"CORT-Cold"
"CORT-Cold66",0.0413568083380148,"CORT-Cold"
"CORT-Cold67",0.0268457782283071,"CORT-Cold"
"CORT-Cold68",0.0350726467327973,"CORT-Cold"
"CORT-Cold69",0.0283622112878361,"CORT-Cold"
"CORT-Cold70",0.0340861498463623,"CORT-Cold"
"CORT-Cold71",0.0319046863554185,"CORT-Cold"
"CORT-Cold72",0.0339384057209136,"CORT-Cold"
"CORT-Cold73",0.034543890524205,"CORT-Cold"
"CORT-Cold74",0.040710331049431,"CORT-Cold"
"CORT-Cold75",0.0317116315904199,"CORT-Cold"
"CORT-Cold76",0.0235305476305265,"CORT-Cold"
"CORT-Cold77",0.0325429774008397,"CORT-Cold"
"CORT-Cold78",0.0506064834793782,"CORT-Cold"
"CORT-Cold79",0.0400059428903236,"CORT-Cold"
"CORT-Cold80",0.0268398749021806,"CORT-Cold"
"CORT-Cold81",0.0476482366213153,"CORT-Cold"
"CORT-Cold82",0.0308399721961147,"CORT-Cold"
"CORT-Cold83",0.045347237650417,"CORT-Cold"
"CORT-Cold84",0.032218640531124,"CORT-Cold"
"CORT-Cold85",0.0312527090811331,"CORT-Cold"
"CORT-Cold86",0.0425060947885593,"CORT-Cold"
"CORT-Cold87",0.0216522999042996,"CORT-Cold"
"CORT-Cold88",0.0320446825903255,"CORT-Cold"
"CORT-Cold89",0.045879524668261,"CORT-Cold"
"CORT-Cold90",0.0461941675478565,"CORT-Cold"
"CORT-Cold91",0.0271772968825498,"CORT-Cold"
"CORT-Cold92",0.0430190471076214,"CORT-Cold"
"CORT-Cold93",0.0460126217855213,"CORT-Cold"
"CORT-Cold94",0.0430451781616679,"CORT-Cold"
