"","lizard_id","position","species","sex","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","blue_asso"
"1",1410,"A1","delicata","Female","A_28","CL379_22",120,"28/3/2023","13/4/2023",16,"R_B",1,"R",0,"Correct choice made but not eaten",1,1,"R",1,1,"",1
"2",2073,"A1","delicata","Male","B_23","CL560_22",57,"22/3/2023","13/4/2023",22,"B_R",1,"R",1,"",1,1,"L",0,0,"",1
"3",1373,"A2","guichenoti","Female","A_28","CL370_22",120,"24/3/2023","13/4/2023",20,"B_R",1,"C",0,"",0,1,"L",0,1,"",0
"4",1562,"A4","guichenoti","Female","B_28","CL423_22",101,"26/3/2023","13/4/2023",18,"B_R",1,"R",0,"",1,1,"L",0,1,"",0
"5",1609,"A4","guichenoti","Female","A_28","CL437_22",101,"25/3/2023","13/4/2023",19,"B_R",1,"C",NA,"",0,1,"C",0,1,"",NA
"6",1438,"B1","guichenoti","Male","B_28","CL386_22",113,"21/3/2023","13/4/2023",23,"B_R",1,"C",NA,"",0,1,"C",0,1,"",NA
"7",1240,"B2","delicata","Female","A_28","CL330_22",132,"30/3/2023","13/4/2023",14,"B_R",1,"L",NA,"",0,1,"L",0,1,"",NA
"8",1205,"B4","delicata","Male","A_28","CL320_22",136,"31/3/2023","13/4/2023",13,"R_B",1,"L",0,"",1,1,"C",1,1,"",1
"9",1296,"B4","delicata","Female","B_23","CL348_22",108,"5/4/2023","13/4/2023",8,"B_R",1,"L",1,"",1,1,"R",1,1,"",1
"10",1399,"B4","delicata","Male","A_23","CL377_22",97,"3/4/2023","13/4/2023",10,"R_B",1,"R",0,"",1,1,"L",0,1,"",0
"11",1366,"C1","guichenoti","Female","A_28","CL368_22",127,"1/4/2023","13/4/2023",12,"B_R",1,"L",NA,"",1,1,"R",0,0,"",NA
"12",1463,"C1","guichenoti","Female","B_28","CL396_22",111,"27/3/2023","13/4/2023",17,"B_R",1,"L",1,"",1,1,"R",0,0,"",1
"13",1322,"C2","delicata","Male","B_23","CL356_22",108,"26/3/2023","13/4/2023",18,"R_B",1,"C",0,"",1,1,"C",1,1,"",0
"14",1611,"C3","guichenoti","Female","B_28","CL438_22",99,"26/3/2023","13/4/2023",18,"B_R",1,"L",NA,"",0,1,"R",0,1,"",NA
"15",2105,"C4","delicata","Female","B_23","CL569_22",59,"1/4/2023","13/4/2023",12,"B_R",1,"R",NA,"",0,1,"C",0,1,"",NA
"16",1177,"D1","guichenoti","Male","A_23","CL314_22",125,"28/3/2023","13/4/2023",16,"R_B",1,"R",NA,"",0,1,"R",0,1,"",NA
"17",1479,"D1","guichenoti","Female","A_28","CL400_22",108,"28/3/2023","13/4/2023",16,"R_B",1,"L",0,"",1,1,"L",0,1,"",1
"18",1371,"D3","guichenoti","Male","A_23","CL370_22",94,"27/3/2023","13/4/2023",17,"B_R",1,"R",NA,"",0,1,"C",0,1,"",NA
