"","lizard_id","position","species","sex","trt","clutch","egg_enclosure","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","blue_asso","temp","cort"
"1",1611,"C3","guichenoti","Female","B_28","CL438_22","E0.",99,"26/3/2023","13/4/2023",18,"B_R",1,"L",NA,"",0,1,"R",0,1,"",NA,"Hot","CORT"
"2",1334,"G4","delicata","Female","A_28","CL358_22","E001_F120",127,"31/3/2023","13/4/2023",13,"B_R",1,"R",0,"",0,1,"L",0,1,"",0,"Hot","Control"
"3",2351,"F1","delicata","Male","A_28","CL634_23","E001_F120",59,"6/4/2023","13/4/2023",7,"B_R",1,"C",1,"",1,1,"R",0,1,"",1,"Hot","Control"
"4",1438,"B1","guichenoti","Male","B_28","CL386_22","E002_M/E006_M",113,"21/3/2023","13/4/2023",23,"B_R",1,"C",NA,"",0,1,"C",0,1,"",NA,"Hot","CORT"
"5",1442,"E1","guichenoti","Male","B_23","CL388_22","E003_F120",94,"21/3/2023","13/4/2023",23,"B_R",1,"R",0,"",1,1,"C",0,1,"",0,"Cold","CORT"
"6",1443,"E3","guichenoti","Male","A_23","CL388_22","E003_F120",94,"20/3/2023","13/4/2023",24,"R_B",1,"C",0,"",0,1,"L",0,1,"",1,"Cold","Control"
"7",1432,"B3","guichenoti","Male","B_23","CL385_22","E003_M/E005_M",94,"20/3/2023","13/4/2023",24,"R_B",1,"L",0,"Ramp slipery",0,1,"R",1,1,"",1,"Cold","CORT"
"8",1562,"A4","guichenoti","Female","B_28","CL423_22","E003_M/E005_M",101,"26/3/2023","13/4/2023",18,"B_R",1,"R",0,"",1,1,"L",0,1,"",0,"Hot","CORT"
"9",1255,"A1","delicata","Male","A_23","CL334_22","E004_F120",111,"31/3/2023","13/4/2023",13,"B_R",1,"C",NA,"",0,1,"C",0,1,"",NA,"Cold","Control"
"10",1257,"D4","delicata","Male","B_23","CL334_22","E004_F120",111,"27/3/2023","13/4/2023",17,"B_R",1,"C",NA,"",0,1,"C",1,1,"",NA,"Cold","CORT"
"11",1258,"G2","delicata","Female","A_28","CL334_22","E004_F120",129,"28/3/2023","13/4/2023",16,"B_R",1,"L",1,"",1,1,"C",0,0,"",1,"Hot","Control"
"12",1565,"E1","guichenoti","Female","B_28","CL424_22","E004_M",101,"29/3/2023","13/4/2023",15,"R_B",1,"C",0,"",1,1,"L",0,1,"",0,"Hot","CORT"
"13",2081,"G3","guichenoti","Male","B_23","CL562_22","E004_M",52,"3/4/2023","13/4/2023",10,"B_R",1,"R",0,"",1,1,"R",0,1,"",0,"Cold","CORT"
"14",1358,"D1","guichenoti","Female","B_28","CL365_22","E005_F120",129,"20/3/2023","13/4/2023",24,"R_B",1,"L",NA,"",0,1,"C",1,1,"",NA,"Hot","CORT"
"15",1340,"F4","guichenoti","Female","B_28","CL360_22","E006_F120",122,"6/4/2023","13/4/2023",7,"R_B",1,"L",0,"",0,1,"R",0,1,"",1,"Hot","CORT"
"16",1229,"D4","delicata","Male","B_28","CL326_22","E007_F120",129,"29/3/2023","13/4/2023",15,"R_B",1,"L",0,"",1,1,"L",0,1,"",0,"Hot","CORT"
"17",2105,"C4","delicata","Female","B_23","CL569_22","E007_F120",59,"1/4/2023","13/4/2023",12,"B_R",1,"R",NA,"",0,1,"C",0,1,"",NA,"Cold","CORT"
"18",2106,"F3","delicata","Female","A_28","CL569_22","E007_F120",78,"9/4/2023","13/4/2023",4,"B_R",1,"C",1,"",1,1,"C",NA,0,"",1,"Hot","Control"
"19",1202,"C2","delicata","Male","B_28","CL319_22","E007_M/E017_M",134,"26/3/2023","13/4/2023",18,"B_R",1,"C",NA,"Wrong feeder",0,1,"L",0,1,"",NA,"Hot","CORT"
"20",1410,"A1","delicata","Female","A_28","CL379_22","E008_F120",120,"28/3/2023","13/4/2023",16,"R_B",1,"R",0,"Correct choice made but not eaten",1,1,"R",1,1,"",1,"Hot","Control"
"21",1408,"G2","delicata","Female","B_28","CL379_22","E008_F120",120,"28/3/2023","13/4/2023",16,"R_B",1,"L",0,"",0,1,"R",1,1,"",1,"Hot","CORT"
